               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,             0.03671,            0.012087,           0.0069893,             0.92691,             0.97149,               0.995,             0.55141,             0.02279,           0.0051405,           0.0015009,            0.005578,            0.005578,            0.005578
                 136,            0.036733,            0.014071,           0.0092365,             0.92552,              0.9716,               0.995,             0.63131,            0.021354,           0.0051482,           0.0014148,            0.005545,            0.005545,            0.005545
                 137,            0.037526,            0.012112,           0.0097172,             0.84335,             0.91464,               0.995,             0.53355,            0.021548,           0.0098727,           0.0014108,            0.005512,            0.005512,            0.005512
                 138,            0.038803,             0.01371,           0.0064144,             0.92368,             0.84427,             0.96722,             0.57344,            0.020934,           0.0052189,           0.0021343,            0.005479,            0.005479,            0.005479
                 139,            0.036735,            0.012151,            0.011422,             0.89879,             0.95326,               0.995,             0.58696,            0.019648,           0.0049906,           0.0025177,            0.005446,            0.005446,            0.005446
                 140,             0.04068,            0.013919,           0.0090581,             0.91757,             0.93645,               0.995,             0.43686,             0.02627,           0.0050231,           0.0026593,            0.005413,            0.005413,            0.005413
                 141,            0.039741,            0.013032,           0.0066259,             0.91693,              0.9086,               0.945,             0.62209,            0.019019,           0.0049458,           0.0031288,             0.00538,             0.00538,             0.00538
                 142,            0.036093,            0.014141,            0.008362,             0.90302,              0.9028,               0.945,             0.64804,            0.022263,           0.0048559,           0.0028496,            0.005347,            0.005347,            0.005347
                 143,            0.040687,            0.013609,            0.012223,             0.93325,              0.9118,             0.95333,              0.6521,            0.020167,           0.0048308,           0.0025369,            0.005314,            0.005314,            0.005314
                 144,            0.036116,            0.012187,           0.0068842,             0.89838,             0.86851,             0.92229,             0.53947,            0.022759,           0.0048371,           0.0025515,            0.005281,            0.005281,            0.005281
                 145,            0.037114,            0.012532,           0.0081368,             0.91338,             0.94692,             0.98125,             0.52276,            0.020345,            0.004942,           0.0025306,            0.005248,            0.005248,            0.005248
                 146,            0.036298,            0.014272,            0.008111,             0.91063,             0.89996,             0.95333,             0.61242,            0.020898,           0.0050107,           0.0028118,            0.005215,            0.005215,            0.005215
